"cycle","web_reference","generated_reference","planning_focus","dev_focus","review_focus","qa_focus"
"1","images/web_refs/web_ref_00013.jpg","images/game_screenshots_generated/batch_0001/shot_00001.png","메인 UI 가독성","상태머신 이벤트 연결","Null 접근과 전이 누락","재미도 4점 척도"
"2","images/web_refs/web_ref_00014.jpg","images/game_screenshots_generated/batch_0001/shot_00002.png","카드핸드 조작성","카드 데이터 검증기","코스트 대비 성능 역전","입력 정확도"
"3","images/web_refs/web_ref_00015.jpg","images/game_screenshots_generated/batch_0001/shot_00003.png","레인 배치 규칙","전투 공식 파라미터","과도한 이펙트 중첩","프레임 안정성"
"4","images/web_refs/web_ref_00016.jpg","images/game_screenshots_generated/batch_0001/shot_00004.png","마나 템포 밸런스","맵 충돌 및 배치 영역","승패 판정 경계값","튜토리얼 없이 플레이 가능성"
"5","images/web_refs/web_ref_00017.jpg","images/game_screenshots_generated/batch_0001/shot_00005.png","소환 이펙트 일관성","결과 화면 흐름","Null 접근과 전이 누락","재미도 4점 척도"
"6","images/web_refs/web_ref_00018.jpg","images/game_screenshots_generated/batch_0001/shot_00006.png","승리 연출 명확성","상태머신 이벤트 연결","코스트 대비 성능 역전","입력 정확도"
"7","images/web_refs/web_ref_00019.jpg","images/game_screenshots_generated/batch_0001/shot_00007.png","실패 연출 명확성","카드 데이터 검증기","과도한 이펙트 중첩","프레임 안정성"
"8","images/web_refs/web_ref_00020.jpg","images/game_screenshots_generated/batch_0001/shot_00008.png","카운터플레이 유도","전투 공식 파라미터","승패 판정 경계값","튜토리얼 없이 플레이 가능성"
"9","images/web_refs/web_ref_00021.jpg","images/game_screenshots_generated/batch_0001/shot_00009.png","덱 다양성 보장","맵 충돌 및 배치 영역","Null 접근과 전이 누락","재미도 4점 척도"
"10","images/web_refs/web_ref_00022.jpg","images/game_screenshots_generated/batch_0001/shot_00010.png","오버타임 안정화","결과 화면 흐름","코스트 대비 성능 역전","입력 정확도"
"11","images/web_refs/web_ref_00023.jpg","images/game_screenshots_generated/batch_0001/shot_00021.png","메인 UI 가독성","상태머신 이벤트 연결","과도한 이펙트 중첩","프레임 안정성"
"12","images/web_refs/web_ref_00024.jpg","images/game_screenshots_generated/batch_0001/shot_00022.png","카드핸드 조작성","카드 데이터 검증기","승패 판정 경계값","튜토리얼 없이 플레이 가능성"
"13","images/web_refs/web_ref_00025.jpg","images/game_screenshots_generated/batch_0001/shot_00023.png","레인 배치 규칙","전투 공식 파라미터","Null 접근과 전이 누락","재미도 4점 척도"
"14","images/web_refs/web_ref_00026.jpg","images/game_screenshots_generated/batch_0001/shot_00024.png","마나 템포 밸런스","맵 충돌 및 배치 영역","코스트 대비 성능 역전","입력 정확도"
"15","images/web_refs/web_ref_00027.jpg","images/game_screenshots_generated/batch_0001/shot_00025.png","소환 이펙트 일관성","결과 화면 흐름","과도한 이펙트 중첩","프레임 안정성"
"16","images/web_refs/web_ref_00028.jpg","images/game_screenshots_generated/batch_0001/shot_00026.png","승리 연출 명확성","상태머신 이벤트 연결","승패 판정 경계값","튜토리얼 없이 플레이 가능성"
"17","images/web_refs/web_ref_00029.jpg","images/game_screenshots_generated/batch_0001/shot_00027.png","실패 연출 명확성","카드 데이터 검증기","Null 접근과 전이 누락","재미도 4점 척도"
"18","images/web_refs/web_ref_00030.jpg","images/game_screenshots_generated/batch_0001/shot_00028.png","카운터플레이 유도","전투 공식 파라미터","코스트 대비 성능 역전","입력 정확도"
"19","images/web_refs/web_ref_00031.jpg","images/game_screenshots_generated/batch_0001/shot_00029.png","덱 다양성 보장","맵 충돌 및 배치 영역","과도한 이펙트 중첩","프레임 안정성"
"20","images/web_refs/web_ref_00032.jpg","images/game_screenshots_generated/batch_0001/shot_00030.png","오버타임 안정화","결과 화면 흐름","승패 판정 경계값","튜토리얼 없이 플레이 가능성"
"21","images/web_refs/web_ref_00033.jpg","images/game_screenshots_generated/batch_0001/shot_00031.png","메인 UI 가독성","상태머신 이벤트 연결","Null 접근과 전이 누락","재미도 4점 척도"
"22","images/web_refs/web_ref_00034.jpg","images/game_screenshots_generated/batch_0001/shot_00032.png","카드핸드 조작성","카드 데이터 검증기","코스트 대비 성능 역전","입력 정확도"
"23","images/web_refs/web_ref_00035.jpg","images/game_screenshots_generated/batch_0001/shot_00033.png","레인 배치 규칙","전투 공식 파라미터","과도한 이펙트 중첩","프레임 안정성"
"24","images/web_refs/web_ref_00036.jpg","images/game_screenshots_generated/batch_0001/shot_00034.png","마나 템포 밸런스","맵 충돌 및 배치 영역","승패 판정 경계값","튜토리얼 없이 플레이 가능성"
"25","images/web_refs/web_ref_00037.jpg","images/game_screenshots_generated/batch_0001/shot_00035.png","소환 이펙트 일관성","결과 화면 흐름","Null 접근과 전이 누락","재미도 4점 척도"
"26","images/web_refs/web_ref_00038.jpg","images/game_screenshots_generated/batch_0001/shot_00036.png","승리 연출 명확성","상태머신 이벤트 연결","코스트 대비 성능 역전","입력 정확도"
